hour_of_day,activity,productivity_score
4,Writing,0.6288400046318487
12,Writing,0.9337543662891716
6,Analysis,0.7623400971971374
5,Design,0.8939238154910016
11,Design,0.7044736297685625
21,Coding,0.8338360969111769
0,Analysis,0.6968004322074735
23,Design,0.8713509810507147
1,Design,0.6457226870167014
6,Writing,0.7634267357661226
18,Design,0.7135922044242096
23,Analysis,0.7724072009402112
20,Writing,0.770200161438285
3,Design,0.6099094904869671
17,Writing,0.8691687886765818
16,Design,0.7122439534585918
5,Design,0.7808272063540536
15,Design,0.8601013082475744
20,Analysis,0.6589413438165461
4,Design,0.9891010426015676
22,Writing,0.8582168834925803
20,Analysis,0.8961291690878181
8,Writing,0.6932283796008525
6,Design,0.9799919648674676
23,Analysis,0.8156211942589683
3,Analysis,0.6765817962413515
23,Analysis,0.6310867813392231
1,Design,0.6217176393305033
13,Design,0.9118009426178408
16,Design,0.679600669419846
6,Coding,0.7638726404109764
2,Writing,0.6540356602952484
5,Writing,0.8216933800132562
6,Writing,0.5184611421285819
8,Coding,0.5889108550273079
1,Analysis,0.6696901486485882
5,Analysis,0.9282164097239464
5,Writing,0.6011025146112382
2,Coding,0.5135712819690355
16,Writing,0.9691726756953444
16,Writing,0.8079207552469841
4,Writing,0.5634960831502
14,Design,0.6111284854500543
13,Analysis,0.5759796208957224
18,Writing,0.91735814090383
6,Design,0.7687885077965386
2,Analysis,0.8712726792468023
22,Coding,0.931333363669756
5,Writing,0.8267719395879074
10,Design,0.7641988043385128
23,Coding,0.5124773195864936
5,Design,0.5488392465652144
6,Analysis,0.6842658537044836
16,Writing,0.9966245159683024
6,Design,0.5034209465814213
14,Coding,0.732595189595243
15,Analysis,0.8070126921559355
16,Coding,0.882694258483147
19,Writing,0.7827072890716594
3,Design,0.941302171770696
20,Analysis,0.6218902176693105
20,Analysis,0.5695982550625693
23,Writing,0.7087908706007828
12,Analysis,0.9066323685709284
18,Coding,0.7671245272712102
0,Design,0.8267177516201725
3,Design,0.9502937021088422
19,Design,0.8916780012387192
8,Writing,0.5918862404749874
7,Analysis,0.8544063893533618
2,Writing,0.8962584306404804
17,Writing,0.8119493636883923
9,Writing,0.9679547147774706
8,Design,0.937632242559258
2,Coding,0.9369495107968142
20,Writing,0.8381998975382525
12,Analysis,0.7683030408625509
5,Coding,0.7262189726779928
16,Writing,0.8636086990021972
5,Coding,0.5478137213212217
16,Design,0.7904011006712679
6,Writing,0.6869367520852232
22,Design,0.7295667570335964
21,Coding,0.6085648656293371
17,Coding,0.5571074307024118
12,Coding,0.9521874280825672
14,Analysis,0.7859525682199955
0,Coding,0.9581240530343929
17,Design,0.6147877168860612
7,Analysis,0.8577207346345392
8,Analysis,0.9941727222596296
20,Design,0.8972466509838006
18,Analysis,0.6211323519460461
12,Coding,0.5470624421275019
5,Writing,0.8067310962512929
7,Writing,0.7056262165313555
16,Writing,0.550383235984807
20,Coding,0.6869694359959317
5,Design,0.7689817405575929
15,Coding,0.6942718328531801
2,Coding,0.7355000028275359
21,Analysis,0.9092061356738312
18,Design,0.5611699309858109
10,Writing,0.5897043599180671
21,Analysis,0.5022756297975364
12,Writing,0.7637535746492625
0,Coding,0.690109089324679
18,Writing,0.8761397363777855
1,Writing,0.6165688985515476
3,Coding,0.7425371906141358
3,Coding,0.6706764718531963
3,Analysis,0.909533586643562
6,Analysis,0.7611024971928612
12,Writing,0.7317341197443353
17,Design,0.9236764544662605
22,Analysis,0.8943857068775138
0,Coding,0.7532839496496188
6,Coding,0.6376816889721308
20,Coding,0.8174784848975745
23,Writing,0.5496992550300127
23,Coding,0.928662130809048
5,Analysis,0.99868636579545
15,Coding,0.6630476947668876
6,Coding,0.5231164158420386
10,Analysis,0.6474394139410555
1,Design,0.5036321606097338
19,Analysis,0.6207440391834106
0,Analysis,0.5962844930112357
8,Design,0.6407699568957379
20,Coding,0.9689870211342624
3,Writing,0.9134759272045472
3,Writing,0.9838232262832644
11,Writing,0.8791849386981758
11,Design,0.9234924908493392
18,Design,0.5158448084151993
2,Design,0.5257946682087589
15,Analysis,0.8673944637602424
13,Design,0.9961516278589064
20,Analysis,0.7098943108326412
11,Design,0.6818215858883656
10,Design,0.828558793763785
5,Analysis,0.9402262660577688
15,Writing,0.9676135296719396
14,Analysis,0.603579205763422
8,Writing,0.9796145230079928
9,Design,0.756156122769587
23,Writing,0.8622076311473055
2,Design,0.6449415403152463
15,Coding,0.7942253044950283
17,Design,0.9972529921117668
13,Coding,0.6202253121969059
18,Analysis,0.570351040703148
1,Analysis,0.793657182731093
21,Design,0.9773329759021376
10,Writing,0.7166721526655622
10,Design,0.7274118002329211
15,Writing,0.6019073790308944
17,Writing,0.8826161512553989
23,Writing,0.6767941726432567
7,Coding,0.5998390490876231
18,Analysis,0.5810322640928283
7,Design,0.9668573672960892
18,Writing,0.8167686854933884
18,Analysis,0.8417415031882067
15,Writing,0.5561992067262211
16,Writing,0.6254476534207559
8,Coding,0.5689855421357104
20,Coding,0.8292715295619659
16,Coding,0.6195803671281693
1,Design,0.8307566384783674
6,Coding,0.7279293527259456
6,Analysis,0.5627273162831323
23,Analysis,0.6765483450477109
6,Analysis,0.7611539711649682
7,Analysis,0.5802690414457747
18,Writing,0.607567203302645
3,Design,0.777074484201377
7,Analysis,0.5428725493591531
9,Analysis,0.7101977847721106
10,Writing,0.6494599670470806
22,Coding,0.8772605532489125
11,Coding,0.5682347675879155
14,Design,0.9967076140928426
11,Analysis,0.8887638516264673
8,Writing,0.9645943919554502
4,Design,0.6054904193680883
2,Analysis,0.7266249867541854
22,Coding,0.937951450900401
2,Design,0.5957680824723066
6,Design,0.5732369854414595
22,Design,0.6800341013602755
19,Writing,0.8994434470414991
11,Coding,0.5554574186286019
15,Coding,0.932365269634966
19,Coding,0.8584012744943268
1,Analysis,0.5999476082953425
23,Analysis,0.9002144873462031
0,Writing,0.5096706956379038
12,Design,0.7918414223562039
8,Writing,0.9789666532388476
6,Analysis,0.6486571425300525
14,Analysis,0.8911339793102883
4,Analysis,0.6321836939343837
10,Analysis,0.8086583843973254
3,Analysis,0.9252418974374316
4,Design,0.9202596664376466
20,Analysis,0.5687138335225205
13,Writing,0.7326316444148215
10,Analysis,0.951796164645128
2,Analysis,0.9229547730379348
12,Writing,0.7825627893325333
21,Design,0.6333344350945669
7,Coding,0.9172462814887988
7,Coding,0.9379411221652773
11,Writing,0.8785932208096392
6,Coding,0.9880781378519964
10,Coding,0.6984598774803648
15,Writing,0.944990021911875
6,Coding,0.8314072748137327
14,Analysis,0.9055825669435428
20,Design,0.9239492783680444
9,Coding,0.90618429511175
5,Analysis,0.7258970000562007
18,Writing,0.8116119157144608
12,Design,0.7905012320145869
11,Analysis,0.5383725873101475
12,Coding,0.743470895332607
10,Analysis,0.8698015565088619
22,Analysis,0.5906530167661933
15,Analysis,0.5111451054092977
15,Analysis,0.9401759278995374
16,Writing,0.7193426870292222
6,Writing,0.803536326782681
6,Design,0.6165125690704376
18,Coding,0.5363229861021264
4,Analysis,0.8014860903200078
9,Coding,0.6084973549856152
2,Design,0.6228664299451298
4,Design,0.8511877169460491
23,Design,0.8905742272952926
15,Analysis,0.7233098776759301
14,Design,0.9617361914625586
12,Coding,0.9145987873228832
10,Coding,0.6467057037107193
4,Writing,0.654101503659398
14,Design,0.8520180542557363
9,Writing,0.9583291807795812
19,Design,0.9062771970179786
19,Writing,0.5389331588238913
14,Analysis,0.73905199577743
2,Design,0.9346096159166518
10,Design,0.6536016083480576
6,Coding,0.7327326397870546
2,Analysis,0.5750549112716823
14,Writing,0.5302507851993787
3,Writing,0.5091874802883256
11,Writing,0.5876968614444464
5,Design,0.6932070032988449
18,Design,0.6002305947268067
17,Writing,0.8663379723735851
3,Analysis,0.5549420983054767
10,Design,0.8388729463901512
11,Writing,0.988454823520355
6,Analysis,0.931074734099634
1,Coding,0.9779933806963954
20,Writing,0.9342750005268698
5,Coding,0.5709319518627141
22,Writing,0.8444671907867938
12,Writing,0.864237840467865
6,Coding,0.6307951035653887
12,Coding,0.8136305365903507
15,Coding,0.9557698492516208
14,Design,0.8884420884721291
16,Design,0.8447588339543368
19,Design,0.7100021382320282
1,Writing,0.6805477388024528
4,Design,0.8181083562615389
19,Writing,0.683110945152265
4,Analysis,0.8359883565060849
6,Analysis,0.8497779665203931
0,Design,0.9791542926380632
2,Coding,0.6831231021125407
1,Writing,0.810130987164483
13,Analysis,0.7188138450706679
11,Writing,0.9404473766412966
14,Coding,0.5202522929669318
17,Writing,0.5693240596933207
16,Analysis,0.7937114891877038
20,Design,0.7544710765814286
0,Design,0.5068105778164442
23,Design,0.7716803464166185
15,Analysis,0.8941766725227371
11,Design,0.6614395699988938
20,Coding,0.6490821259298244
4,Writing,0.9894806134806592
17,Design,0.976725836234322
0,Writing,0.5176218890978987
14,Design,0.5110287078103114
3,Writing,0.8136846349397322
10,Writing,0.6763308289439627
6,Writing,0.8865156984832672
7,Coding,0.7956269134717919
9,Design,0.5596083830652314
9,Analysis,0.9851879306826894
0,Analysis,0.5889760148183412
15,Analysis,0.5475469968131832
13,Analysis,0.9516498079877536
15,Coding,0.7977084721890544
14,Writing,0.786714075969893
14,Writing,0.7289739259105011
16,Analysis,0.543299308524092
8,Coding,0.7542076200132404
2,Design,0.9819107662815196
3,Analysis,0.9979001101162326
19,Analysis,0.6470332668779936
8,Analysis,0.9067587277014058
15,Analysis,0.5363229613119433
5,Design,0.8269797534301977
22,Design,0.5071669345656179
12,Analysis,0.9508818540886014
5,Writing,0.5609781406258214
12,Coding,0.5592598824479282
20,Design,0.8781187427645161
13,Writing,0.7857155714722361
9,Writing,0.9151277490284132
15,Analysis,0.5357178653665313
22,Coding,0.6567324518129913
8,Writing,0.8037632053953168
23,Writing,0.5995828130243126
21,Coding,0.7253211181258511
18,Coding,0.5796742783349145
2,Coding,0.9634087593031724
19,Analysis,0.9368707922788244
1,Design,0.9444583474914174
12,Writing,0.6515292965024368
14,Analysis,0.8367588552540164
17,Analysis,0.7625590360367311
7,Design,0.6703493345951059
3,Analysis,0.6349449491219219
11,Coding,0.7696591710919156
7,Writing,0.5463280979148972
17,Analysis,0.6803068699258731
7,Analysis,0.923683961731461
14,Design,0.6693003963205619
7,Coding,0.946228222995562
13,Design,0.6983355058806211
22,Writing,0.8182465893536239
16,Design,0.7564626999700599
5,Analysis,0.7218584433896227
18,Design,0.6091629310812458
13,Analysis,0.9006245779617517
11,Design,0.8932173412576001
18,Writing,0.6715626495260709
11,Coding,0.8521805612122211
5,Coding,0.5485982780209543
17,Coding,0.5833228056855804
18,Design,0.657270942983183
7,Analysis,0.8435251301696747
10,Coding,0.9378232856025732
15,Writing,0.8216037645782917
8,Writing,0.9607105193172027
6,Design,0.9382991054973974
19,Analysis,0.5429959678216969
20,Coding,0.6018805594256218
14,Design,0.6392463178219633
13,Design,0.8294650016930083
20,Coding,0.6856136097623649
4,Design,0.5430500381550567
1,Design,0.5833465701518075
22,Writing,0.8617614050610957
14,Analysis,0.88667218515836
14,Writing,0.9342236502098732
9,Analysis,0.8928550270147071
6,Coding,0.6016462425813334
9,Writing,0.8464959898856144
22,Design,0.9076871747090632
7,Coding,0.9208089689765508
23,Design,0.8301623862133284
11,Coding,0.932294887152094
7,Coding,0.6515318571276468
18,Analysis,0.9485984217696716
20,Design,0.8324943682462929
21,Design,0.8256529463414817
5,Analysis,0.6173631861163684
16,Analysis,0.91575626965798
1,Writing,0.977597427072188
19,Writing,0.93071231737802
9,Design,0.9666691991506136
6,Coding,0.979431072513646
4,Design,0.5665002955625467
17,Analysis,0.8754366048195718
21,Coding,0.6375888052085124
9,Coding,0.9911829122366184
12,Analysis,0.994923491179571
19,Writing,0.6863276804186331
20,Analysis,0.8573366046149453
13,Analysis,0.8221613763989604
8,Design,0.9109880755651968
15,Writing,0.7001487142146596
3,Coding,0.6697493892176525
23,Coding,0.8933762323520844
7,Writing,0.5696835283282671
9,Analysis,0.5484955085699319
14,Writing,0.6117515292674381
4,Analysis,0.9351786823696836
18,Coding,0.7803737480155737
6,Coding,0.506264621135733
2,Analysis,0.5609489311353995
23,Coding,0.771362651630372
16,Design,0.9339496554216582
22,Analysis,0.9673280636749868
16,Coding,0.7896083420521876
3,Design,0.6169960153467362
15,Design,0.6554747117376556
21,Analysis,0.9876748428714688
22,Coding,0.6057999621447937
21,Analysis,0.9090470930010958
13,Coding,0.7967886559335089
13,Writing,0.6220513403789032
15,Writing,0.7545019877688484
20,Analysis,0.7875354070855652
23,Writing,0.7209058656864086
8,Coding,0.7102924626135025
14,Coding,0.8140450669127486
13,Writing,0.6854353909809421
10,Writing,0.7559838234650937
19,Design,0.7088803496432864
7,Coding,0.7897802034547279
1,Analysis,0.7537171793541206
23,Analysis,0.7279330450308205
9,Writing,0.6461028896245066
7,Coding,0.7280100701515111
6,Design,0.792593263391735
0,Analysis,0.9289241396323292
12,Writing,0.5875968149360563
15,Analysis,0.7913868730201907
11,Analysis,0.9204960868990992
23,Design,0.5055132100617098
6,Coding,0.8781857162671698
20,Design,0.8583022778577856
6,Coding,0.8939500058304983
1,Coding,0.6561948859741387
4,Analysis,0.9165674784182164
18,Design,0.7913968356422778
18,Coding,0.6755426959108737
13,Analysis,0.8856568149881543
9,Coding,0.707556568991907
5,Design,0.8873937768100156
20,Analysis,0.7724374790813062
16,Coding,0.5015878915787502
1,Analysis,0.719370130828663
4,Design,0.8503678712236964
5,Analysis,0.6765308480786123
18,Writing,0.677107801474863
0,Analysis,0.8673650205831809
18,Design,0.7101993547809493
17,Coding,0.5536417690405846
3,Design,0.639510628488619
3,Design,0.6595108868172946
3,Design,0.7367744146657631
13,Writing,0.7270696523578323
21,Analysis,0.7574000629918585
3,Coding,0.8076195991071313
23,Writing,0.6912085390318679
4,Design,0.7370629728199061
9,Coding,0.6263266097178779
11,Coding,0.916833980669154
1,Design,0.7092361666754476
20,Writing,0.8654534624084708
9,Coding,0.8727014501866708
13,Coding,0.9101586303677636
4,Analysis,0.9807132551887692
19,Writing,0.907769070866612
20,Analysis,0.760153653320431
21,Coding,0.829763367165048
8,Writing,0.8140638361393828
12,Writing,0.8335734316806428
13,Writing,0.8825362341582739
11,Design,0.812088097371544
15,Analysis,0.6109646240389403
15,Coding,0.926155199959092
12,Analysis,0.6330940016527368
18,Analysis,0.9041598898372344
17,Analysis,0.6183586325354415
7,Coding,0.7436595828354261
13,Analysis,0.6824713700798465
20,Coding,0.93149854934234
14,Analysis,0.6005480282704443
17,Analysis,0.6766235921066786
6,Design,0.9019342366245092
21,Design,0.9251951179583918
22,Coding,0.7210468477266362
2,Design,0.8827634004638659
4,Analysis,0.8887976727247412
6,Coding,0.5788892070856444
18,Writing,0.9451876000952232
0,Design,0.6397312801103392
1,Design,0.7348486926702845
2,Coding,0.5194423618426671
19,Design,0.6682575074856624
14,Writing,0.6409460584765587
10,Design,0.6967068525138534
3,Design,0.7665668595441533
10,Writing,0.9633748433072824
5,Writing,0.6556698451263789
10,Coding,0.6168347535464507
20,Design,0.7864048516795055
8,Design,0.5094915643133027
2,Analysis,0.8033718414269145
2,Design,0.8943071721262602
13,Design,0.5340538348840205
21,Writing,0.980230037300412
1,Writing,0.7352757080125902
12,Analysis,0.6557432997014023
5,Design,0.8443214887510582
4,Coding,0.9893901754589814
8,Writing,0.8956900295463481
8,Coding,0.8849335434945352
8,Writing,0.5257720100720451
2,Writing,0.8601714632190922
21,Coding,0.5403004275520937
13,Design,0.8339769959640316
3,Coding,0.8085424805665151
11,Writing,0.9252265847822376
1,Analysis,0.9581295486039028
12,Design,0.5430822833798399
1,Coding,0.7061930971950243
3,Writing,0.7246250870283912
10,Design,0.9021983897048804
21,Design,0.6463487778601844
4,Writing,0.553295075657747
11,Design,0.5504839636965912
12,Analysis,0.8624776264344709
10,Analysis,0.8246799858867397
10,Analysis,0.67539232469698
17,Design,0.6900410966727692
18,Coding,0.6160166152780908
2,Analysis,0.7867804244755079
4,Design,0.8985029728041124
1,Design,0.5929216683571199
23,Coding,0.5894753834371877
0,Coding,0.804767242461079
18,Writing,0.6514414428010491
8,Coding,0.9125978792814012
15,Writing,0.6821562417445672
3,Analysis,0.8742722532123113
16,Design,0.6415656886453138
17,Coding,0.9393881082992396
4,Writing,0.616046539844358
8,Design,0.6572556035238084
17,Analysis,0.574338697477039
11,Analysis,0.8960465650937766
11,Analysis,0.6407106248676724
15,Analysis,0.5785736509771324
0,Writing,0.8225705703734589
20,Design,0.9073152457759168
21,Analysis,0.6606252060512798
13,Design,0.9823799044580578
9,Analysis,0.6222925951656177
8,Writing,0.8015170644403304
22,Coding,0.7627201936074547
14,Coding,0.7870101880940736
12,Writing,0.9850235220644784
8,Design,0.882071452341518
9,Design,0.7371198996795048
6,Coding,0.606389116322088
8,Writing,0.7051824903616839
15,Design,0.8372292680226283
4,Writing,0.6049512235331704
7,Analysis,0.5780411380997944
10,Analysis,0.8375149511971198
5,Design,0.7382168715866158
4,Analysis,0.8343764841059238
23,Design,0.6465419195491205
10,Analysis,0.7383128755290695
1,Coding,0.7870917608960402
10,Writing,0.83001123621726
5,Design,0.604475913500599
19,Design,0.999224104564178
0,Writing,0.6948504229370959
8,Writing,0.7448193407367567
11,Writing,0.8551030260639279
19,Coding,0.8595702392634086
3,Coding,0.5321037506231244
14,Writing,0.6627375872489112
22,Coding,0.8837638605639064
23,Coding,0.6171091853475319
6,Writing,0.9779624299706804
7,Analysis,0.6411449284746222
4,Writing,0.7003278166835196
19,Analysis,0.856459121832537
11,Coding,0.7952389694152835
1,Design,0.6151060329284816
12,Writing,0.5596405174602926
2,Analysis,0.8000290462654802
22,Writing,0.9032716894835334
17,Coding,0.8889953010646017
7,Writing,0.5006911943861267
20,Analysis,0.9668596044890454
16,Writing,0.6806688640190586
16,Writing,0.8726208662995967
11,Analysis,0.9676428714386046
18,Design,0.6886998208371187
2,Analysis,0.7521604459697824
23,Writing,0.8169690268925089
21,Analysis,0.832010325690969
20,Analysis,0.7870947835858908
1,Writing,0.637488882633131
18,Analysis,0.7149014555583253
23,Design,0.8232488732342162
5,Analysis,0.9170855216304356
0,Analysis,0.6327030702075529
23,Design,0.9944120431899764
17,Writing,0.94109009305449
20,Coding,0.7141617020892546
22,Analysis,0.7708064358172502
12,Writing,0.7795015050950997
5,Coding,0.9672781707608348
19,Design,0.7106734329145031
2,Coding,0.78771017164406
10,Coding,0.7650565576711108
11,Coding,0.6744207768874286
11,Coding,0.5756157138632457
14,Design,0.9461982616784472
4,Design,0.5396494600430616
23,Design,0.7628309644457132
17,Design,0.6570140264914262
17,Coding,0.9227577504754736
16,Design,0.5634268099874264
7,Analysis,0.946016461617287
15,Analysis,0.8409289361132631
20,Analysis,0.5941278128049201
14,Writing,0.8795701543365906
11,Design,0.756939096645187
17,Design,0.8193545808722427
6,Analysis,0.712813293992518
4,Writing,0.5965356761477809
8,Coding,0.6045652758479763
5,Coding,0.9978371444002052
21,Writing,0.5129189933402779
23,Coding,0.7555908622750491
8,Analysis,0.943709436542474
5,Coding,0.7919431090125035
5,Analysis,0.9536921938397178
7,Design,0.6921120065121797
12,Analysis,0.7287365791788699
12,Coding,0.989135725401586
3,Coding,0.6554925886420007
21,Coding,0.6659236891895775
21,Design,0.7484057887271924
13,Analysis,0.6411269219971973
19,Writing,0.624488994667308
11,Analysis,0.6620052956985572
1,Writing,0.5068497128353959
12,Design,0.5011558884201329
16,Writing,0.5390502369753021
3,Coding,0.6736662094050276
15,Coding,0.6351282830289415
12,Analysis,0.7026241225211289
13,Writing,0.7334555084620569
7,Coding,0.7351084057324355
18,Writing,0.8509118009040245
18,Design,0.6798714301656426
13,Coding,0.613674854980166
11,Writing,0.5027546613170958
6,Coding,0.7749308694573875
3,Writing,0.5737373444656517
13,Coding,0.9855210073703532
20,Design,0.6070357245641539
9,Coding,0.6807172817657271
18,Design,0.5471472310245433
13,Writing,0.7977767306395744
2,Writing,0.6945735544291702
8,Writing,0.6529126778841787
9,Coding,0.5326312662671007
6,Writing,0.7288121589307064
